Spec,El,Tc,IP(eV),err,Tc_Bond_Solar,Tc_Bond_55Cnc,Tc_Bond_HD4203,Tc_Teske
6,CI,40,11.26,0.006,150,920,1049,40
106,CH,40,,0.005,150,920,1049,
8,OI,180,13.618,0.006,180,207,1001,180
11,NaI,958,5.139,0.005,941,864,864,958
12,MgI,1336,7.646,0.005,1339,1081,1074,1336
13,AlI,1653,5.986,0.003,1639,1311,1333,1653
14,SiI,1310,8.152,0.003,1329,1169,1645,1310
16,SI,664,10.36,0.005,658,667,677,664
19,KI,1006,4.34,0.01,,,,
20,CaI,1517,6.113,0.008,1527,1248,1300,1517
21,ScI,1659,6.561,0.006,,,,
21.1,ScII,1659,6.561,0.007,,,,
22,TiI,1582,6.828,0.008,1580,1754,1832,1582
22.1,TiII,1582,6.828,0.008,1580,1754,1832,1582
23,VI,1429,6.746,0.007,,,,1429
24,CrI,1296,6.767,0.007,1301,1322,1324,1296
24.1,CrII,1296,6.767,0.007,1301,1322,1324,
25,MnI,1158,7.434,0.006,,,,1158
26,FeI,1334,7.902,0.005,1339,1361,1367,1334
26.1,FeII,1334,7.902,0.005,1339,1361,1367,1334
27,CoI,1352,7.881,0.004,,,,
28,NiI,1353,7.64,0.005,1351,1372,1378,1353
29,CuI,1037,7.726,0.005,,,,1037
30,ZnI,726,9.394,0.005,,,,726
37,RbI,800,,0.004,,,,
38,SrI,1455,,,,,,
39.1,YII,1659,6.38,0.011,,,,
40.1,ZrII,1741,6.84,0.008,,,,
56.1,BaII,1455,5.212,0.009,,,,
57.1,LaII,1570,,,,,,
58.1,CeII,1477,,,,,,
60.1,NdII,1594,,,,,,
62.1,SmII,1580,,,,,,
63.1,EuII,1347,,,,,,
