wavelength,species,ep,gf,HD17051,HD28635,Vesta
4389.245,26,0.052,-4.583,64,60.6,73
4445.471,26,0.087,-5.441,26.5,25.3,40.6
4602.001,26,1.608,-3.154,66.8,65.2,72
4690.14,26,3.69,-1.61,54.2,53.7,57.1
4788.76,26,3.24,-1.73,64.4,63.2,66.7
4799.41,26,3.64,-2.13,31.1,31.4,35.3
4808.15,26,3.25,-2.69,22.8,22,27.3
4950.1,26,3.42,-1.56,67.2,63.3,73.9
4994.129,26,0.915,-3.08,99,97.4,105.5
5141.74,26,2.42,-2.23,82,79.2,89.8
5198.71,26,2.22,-2.14,92,90.1,96.8
5225.525,26,0.11,-4.789,58.9,57.2,72.3
5242.49,26,3.63,-0.99,85.6,84.5,86.7
5247.05,26,0.087,-4.961,52.3,50.3,67
5250.208,26,0.121,-4.938,50.7,50,67.9
5295.31,26,4.42,-1.59,27.9,28.2,29.1
5373.71,26,4.47,-0.74,63.3,62.7,63.4
5379.57,26,3.69,-1.51,58.4,57.2,61.4
5386.33,26,4.15,-1.67,29.7,29.7,32.4
5441.34,26,4.31,-1.63,29.1,28.3,32.4
5466.396,26,4.371,-0.565,78.9,78.6,78.1
5466.987,26,3.573,-2.23,32.2,31.5,34.4
5491.832,26,4.186,-2.188,11,10.3,12.8
5560.21,26,4.43,-1.09,50.4,49.5,51.6
5618.63,26,4.21,-1.27,48.7,48.7,50
5638.26,26,4.22,-0.77,76.5,75.4,77.8
5651.469,26,4.473,-1.75,17.1,16.4,18.2
5679.023,26,4.652,-0.75,59.2,57.3,60
5701.544,26,2.559,-2.163,78.8,77.2,84.7
5705.464,26,4.301,-1.355,36.8,37.1,38.6
5731.76,26,4.26,-1.2,56.8,55.6,58.1
5775.08,26,4.22,-1.3,57.1,56.1,59.2
5778.453,26,2.588,-3.44,16.5,15.1,22
5784.658,26,3.396,-2.532,22.8,21.3,26.8
5793.914,26,4.22,-1.619,33.2,32.4,34.3
5806.73,26,4.61,-0.95,52.9,52.6,53.7
5852.22,26,4.55,-1.23,39.1,37.9,40.3
5855.076,26,4.608,-1.478,21.2,21,22.2
5930.18,26,4.65,-0.17,91,90.7,89.1
5934.65,26,3.93,-1.07,73.8,70.1,76.7
5956.694,26,0.859,-4.552,39,36.3,50.8
5987.065,26,4.795,-0.212,69,66.9,67.5
6003.01,26,3.88,-1.06,81,78.7,81.4
6005.541,26,2.588,-3.43,17.7,17.8,22.8
6027.05,26,4.076,-1.09,63.5,61.6,64.1
6056,26,4.73,-0.4,72.6,71.2,72.5
6065.482,26,2.609,-1.53,112.4,109.9,117.9
6079.01,26,4.65,-1.02,45,43.9,45.7
6082.71,26,2.22,-3.57,26.8,25.7,34.3
6093.644,26,4.607,-1.3,28.7,28.2,30.6
6096.665,26,3.984,-1.81,33.7,32.9,37.7
6151.618,26,2.176,-3.282,41.2,39.3,49.9
6165.36,26,4.143,-1.46,43,42.9,44.7
6173.335,26,2.223,-2.88,62.7,61,68.3
6187.99,26,3.94,-1.62,43.3,41.5,47.6
6200.313,26,2.609,-2.416,68.3,65.8,73.1
6213.43,26,2.223,-2.52,77.6,76.4,82.3
6219.28,26,2.2,-2.43,85.4,84.4,89.3
6226.736,26,3.883,-2.1,26.2,25.6,29
6232.64,26,3.65,-1.22,81.4,78.8,84.5
6240.646,26,2.223,-3.287,40.9,38.5,49
6265.134,26,2.176,-2.547,80.5,78.5,85.7
6271.279,26,3.332,-2.703,21.6,20.4,22.9
6322.69,26,2.59,-2.43,69,69.2,75.5
6380.74,26,4.19,-1.32,50,49.1,52.2
6392.539,26,2.279,-4.03,11.2,10.7,17
6430.846,26,2.176,-2.006,105.8,103.5,112.6
6498.939,26,0.958,-4.695,34.5,31,46.2
6593.871,26,2.433,-2.394,78.1,78.4,84.7
6597.56,26,4.8,-0.97,42.9,41.8,43.7
6625.022,26,1.011,-5.336,9.5,8.3,15.2
6703.567,26,2.759,-3.023,30.6,29.6,36.7
6705.102,26,4.607,-0.98,44.8,44.3,46.8
6710.319,26,1.485,-4.88,9.5,9.1,15.6
6713.745,26,4.795,-1.4,20.3,19.2,21
6725.357,26,4.103,-2.19,15.1,15.6,17.4
6726.667,26,4.607,-1.03,45.9,45.4,46.8
6733.151,26,4.638,-1.47,24.8,24.3,26.2
6739.522,26,1.557,-4.794,7.9,7.9,11.5
6750.152,26,2.424,-2.621,67.7,65,74
6793.259,26,4.076,-2.326,11.8,11.3,12.6
6806.845,26,2.727,-3.11,27.7,25.7,34.3
6810.263,26,4.607,-0.986,49.4,48.8,49.8
6837.006,26,4.593,-1.687,16.3,16.2,17.1
6839.83,26,2.559,-3.35,23.9,22.5,29.4
6843.66,26,4.55,-0.83,57.8,56.3,60.6
6858.15,26,4.61,-0.94,51.6,49.7,51.7
4491.4,26.1,2.856,-2.66,88.9,90.8,78
4508.29,26.1,2.856,-2.52,102.6,105.1,85.8
4576.333,26.1,2.844,-2.95,74.5,75,63.3
4620.513,26.1,2.828,-3.21,65.7,65,51.6
4993.34,26.1,2.81,-3.73,46.6,48.1,37.8
5197.577,26.1,3.231,-2.22,101.2,101.9,81
5234.624,26.1,3.221,-2.18,101.4,102.9,82.7
5264.804,26.1,3.23,-3.13,54.8,57.7,44.9
