wavelength,species,ep,gf,Sun,hd4813,hd9826,hd16673,hd20367,hd26923
4389.245,26,0.052,-4.583,73.2,51.5,25,51,61.5,61.6
4445.471,26,0.087,-5.441,40.4,16.6,23.3,16.7,25.4,25.9
4602.001,26,1.608,-3.154,72.3,54.4,66.7,55.7,66.9,63.9
4690.14,26,3.69,-1.61,59.5,44.5,56.1,47.5,55,52.2
4788.76,26,3.24,-1.73,67.7,54.2,65.1,57.7,64.4,61.4
4799.41,26,3.64,-2.13,36,20.8,28.1,20.3,31.8,28.4
4808.15,26,3.25,-2.69,27.6,13.4,,13.6,21.7,20.8
4950.1,26,3.42,-1.56,74.6,56,67.7,59.2,69,65.9
4994.129,26,0.915,-3.08,107,87.8,101.3,89.7,99.4,99.2
5141.74,26,2.42,-2.23,90.6,68.8,81.3,71.1,80.6,77.6
5198.71,26,2.22,-2.14,99.2,79.9,94,82.8,93.5,91.5
5225.525,26,0.11,-4.789,74.9,48.5,,47.6,62.2,61.3
5242.49,26,3.63,-0.99,87.7,70,85.3,73.2,83.9,80.4
5247.05,26,0.087,-4.961,67.7,40.2,56.5,41.7,54.6,53.1
5250.208,26,0.121,-4.938,66.8,41.3,55.4,40.4,57.4,54
5295.31,26,4.42,-1.59,30.3,18.2,26.3,20.6,27,24
5322.04,26,2.28,-2.89,62.3,39.8,54.9,43.2,54.7,50
5373.71,26,4.47,-0.74,63.6,50.1,62.7,54.2,62.6,59.5
5379.57,26,3.69,-1.51,62.4,46.5,59.9,49,56.9,54.6
5386.33,26,4.15,-1.67,33,20,27.1,21.4,30,26.9
5441.34,26,4.31,-1.63,32.3,19.3,27.8,21.9,28.5,27
5466.396,26,4.371,-0.565,78.8,66.7,78.9,69.9,79.4,74.9
5466.987,26,3.573,-2.23,34.3,21.2,30.1,25,31.9,27.8
5554.89,26,4.55,-0.36,98.8,77.6,94.6,84.2,96.2,90.2
5560.21,26,4.43,-1.09,53.4,38,50.2,41.1,49.6,46
5618.63,26,4.21,-1.27,51.3,36,46.2,38.5,47.5,44.5
5638.26,26,4.22,-0.77,78.5,63.3,75.5,66.4,75.9,72.4
5651.469,26,4.473,-1.75,19.2,11.2,16.3,12.4,17.2,14.6
5679.023,26,4.652,-0.75,60,44.1,55.2,48.8,59.8,52.9
5701.544,26,2.559,-2.163,86.4,,79,66.1,77.5,
5705.464,26,4.301,-1.355,39.4,24.6,33.2,28.4,36.1,32.3
5731.76,26,4.26,-1.2,58.7,43.1,51.8,45.6,55.3,52.2
5775.08,26,4.22,-1.3,60.3,42.7,55.9,47.6,58.5,55.4
5778.453,26,2.588,-3.44,22.9,10.1,14.4,9.4,17,14.3
5793.914,26,4.22,-1.619,35,20.4,28.7,23.3,30.6,28.4
5806.73,26,4.61,-0.95,55.4,39.3,52.3,42.8,52,47.8
5852.22,26,4.55,-1.23,41.3,27.2,36.8,30.3,38.2,35.3
5855.076,26,4.608,-1.478,23.3,13.5,20.5,15,20.5,18.9
5930.18,26,4.65,-0.17,89.6,75.7,88.4,81.7,89.8,82.8
5934.65,26,3.93,-1.07,77.6,58.3,71,62.4,74.2,68.5
5956.694,26,0.859,-4.552,52.6,25.3,38.1,27.3,40.6,40.6
5987.065,26,4.795,-0.212,70.9,52,68.6,55.2,65,65.5
6003.01,26,3.88,-1.06,85.7,65.4,80.1,68.5,77.3,75.8
6005.541,26,2.588,-3.43,22.7,10.8,17,10.8,15.9,16.9
6027.05,26,4.076,-1.09,65.1,51.5,65.6,56.1,63.3,58.7
6056,26,4.73,-0.4,74.6,59.4,73.3,63.5,73,68.3
6065.482,26,2.609,-1.53,119.5,98.3,110.9,101.3,112.7,107.4
6079.01,26,4.65,-1.02,47.5,30.9,43.1,34.8,46,43.4
6082.71,26,2.22,-3.57,36.1,16.8,25.8,18.2,28.3,27.5
6093.644,26,4.607,-1.3,31.5,19.3,25.8,21.1,29.3,26.1
6096.665,26,3.984,-1.81,38.8,23.6,30.4,24.6,33.6,31.8
6151.618,26,2.176,-3.282,51.1,28.9,40.4,31,42.1,39.4
6165.36,26,4.143,-1.46,45.7,30.8,41.6,33.1,41.8,38.9
6173.335,26,2.223,-2.88,69.4,49.4,65.8,52.4,62,58.3
6187.99,26,3.94,-1.62,48.9,28.8,,31.4,43.9,41.4
6200.313,26,2.609,-2.416,74.4,51.8,66.6,54.9,65.2,64
6213.43,26,2.223,-2.52,83.9,64.4,77,65.8,78.9,78.4
6219.28,26,2.2,-2.43,90.9,71.4,88,75.2,86.1,83.5
6226.736,26,3.883,-2.1,30.2,17.3,26.4,20.9,26.9,24.3
6232.64,26,3.65,-1.22,85.9,65.1,77.5,69.2,79.3,77
6240.646,26,2.223,-3.287,50.1,28.1,41.1,31.2,40,38.3
6265.134,26,2.176,-2.547,87.5,67.4,83.5,70.8,81.1,78.6
6271.279,26,3.332,-2.703,25.4,13.6,19.9,14.5,19.2,18.1
6322.69,26,2.59,-2.43,77.5,55.4,72.3,58.5,68.8,68.6
6380.74,26,4.19,-1.32,53.2,37.9,49.8,41.4,49.2,45.6
6392.539,26,2.279,-4.03,17.8,6.8,10.2,7.9,11.8,11.5
6430.846,26,2.176,-2.006,113.1,92.5,104.6,95.8,107.3,105.7
6498.939,26,0.958,-4.695,46.4,21,34.4,24.2,32.5,32.7
6593.871,26,2.433,-2.394,85.7,63.5,78,68.1,80.9,74.4
6597.56,26,4.8,-0.97,45.3,31.1,41.7,34.8,42.4,39
6625.022,26,1.011,-5.336,15.9,5.2,7.7,5.7,9.8,10.8
6703.567,26,2.759,-3.023,38.2,18.9,30.2,20.3,29,29.4
6705.102,26,4.607,-0.98,47.7,31.2,42.3,35.4,43.5,41.2
6710.319,26,1.485,-4.88,16.1,5.1,8.7,5.6,9.9,9.1
6713.745,26,4.795,-1.4,21.5,13.6,20,14.1,19.6,17.6
6725.357,26,4.103,-2.19,18.1,9.8,14.2,10,15.2,13.8
6726.667,26,4.607,-1.03,47.9,32.8,44.1,36.8,44.7,40.9
6733.151,26,4.638,-1.47,27.6,15.5,22.4,18.9,24,21.6
6739.522,26,1.557,-4.794,12.5,4.3,7.3,,7.9,8.6
6750.152,26,2.424,-2.621,75.1,55.4,69.5,57.6,68.6,65.5
6806.845,26,2.727,-3.11,35.7,17,26.7,19.5,28.3,27.3
6810.263,26,4.607,-0.986,51.7,36.1,46.4,40.4,49.1,47.1
6837.006,26,4.593,-1.687,17.2,10.3,16.6,12.1,16.7,14.6
6839.83,26,2.559,-3.35,30.6,14,21.1,15,23.2,21.8
6843.66,26,4.55,-0.83,62.8,45,56.2,48.2,57.9,54.6
6858.15,26,4.61,-0.94,52.7,38,50.8,40.7,48.9,45.9
7583.79,26,3.02,-1.88,84.9,63.7,78.8,64.8,79.1,74.2
4491.4,26.1,2.856,-2.66,79.2,,95.5,84.8,90.8,81.1
4508.29,26.1,2.856,-2.52,87.8,94.2,111.8,102,102,94.6
4576.333,26.1,2.844,-2.95,64.9,71.1,87.6,76.1,75.8,70
